level,partition,alpha,num_clients,class_per_client,dataset,method,display_name,result_tag,status,pre_avg_acc,post_avg_acc,recovery_avg_acc,final_avg_acc,pre_target_acc,post_target_acc,final_target_acc,pre_retain_avg_acc,post_retain_avg_acc,final_retain_avg_acc,target_acc_change,target_acc_change_ratio,others_acc_change_avg,others_acc_change_ratio,recovery_effect,recovery_stage,mia_pre_auc,mia_post_auc,mia_auc_drop,backdoor_pre_acc,backdoor_post_acc,final_avg_auc,final_mia_auc,final_backdoor_acc,client_count
severe,dir,0.1,50,,Cifar10_clientscale_c50_severe,fu,FU,fu_severe,complete,0.2470236176089331,0.17956145002329926,0.32065538890304673,0.32065538890304673,0.16346153846153846,0.022435897435897436,0.11538461538461539,0.2487289661629616,0.1827680939536544,0.32484458836260655,-0.14102564102564102,-0.8627450980339376,-0.06596087220930719,0.22073641282609568,0.14109393887974747,fu_adaptive_recovery_round_1,0.5051,0.5374,-0.032299999999999995,0.0677,0.1615,,,,50
severe,dir,0.1,50,,Cifar10_clientscale_c50_severe,fedau,FedAU,fedau_severe,complete,0.24658431966014646,0.22850611387575287,,0.22850611387575287,0.21474358974358973,0.01282051282051282,0.01282051282051282,0.2472341304747701,0.2329078608360639,0.2329078608360639,-0.2019230769230769,-0.9402985074583078,-0.0143262696387062,0.16156271674848174,,skipped_for_fedau,0.4617,0.4847,-0.02300000000000002,0.0625,0.0052,,,,50
severe,dir,0.1,50,,Cifar10_clientscale_c50_severe,fedcsa,FedCSA,fedcsa_severe,complete,0.2470236176089331,0.2592212613155717,0.22819695640361357,0.22819695640361357,0.16346153846153846,0.3333333333333333,0.38782051282051283,0.2487289661629616,0.25770877004990306,0.22493933280326864,0.16987179487179485,1.039215686268152,0.0089798038869415,0.49708027356182344,-0.03102430491195815,external_server_recovery,0.5051,0.5058,-0.0007000000000000339,0.0677,0.4062,,,,50
severe,dir,0.1,50,,Cifar10_clientscale_c50_severe,fedosd,FedOSD,fedosd_severe,complete,0.2470236176089331,0.24303045301514714,,0.24303045301514714,0.16346153846153846,0.13141025641025642,0.13141025641025642,0.2487289661629616,0.2453084162111653,0.2453084162111653,-0.03205128205128205,-0.19607843137134945,-0.0034205499517962596,-0.03706414882959302,,internal_fedosd_post_training,0.5051,0.5282,-0.02310000000000001,0.0677,0.0469,,,,50
severe,dir,0.1,50,,Cifar10_clientscale_c50_severe,retrain,Retrain,retrain_severe,complete,,,,0.25271298342516657,,,0.05128205128205128,,,0.256823818775026,,,,,,,,,,,,0.7015717071260537,0.487,0.4115,50
severe,dir,0.1,100,,Cifar10_clientscale_c100_severe,fu,FU,fu_severe,complete,0.20312052681837334,0.20385491613192674,,0.20385491613192674,0.0,0.0,0.0,0.20517224931148828,0.20591405669891594,0.20591405669891594,0.0,0.0,0.0007418073874276697,1.0269961920709927,,fu_adaptive_recovery_skipped,0.5088,0.5136,-0.0047999999999999154,0.0,0.0,,,,100
severe,dir,0.1,100,,Cifar10_clientscale_c100_severe,fedau,FedAU,fedau_severe,complete,0.20323281849045663,0.19071629944710278,,0.19071629944710278,0.0,0.0,0.0,0.2052856752428855,0.1926427267142452,0.1926427267142452,0.0,0.0,-0.012642948528640294,0.006427966589279072,,skipped_for_fedau,0.5043,0.5055,-0.0011999999999999789,0.0,0.0,,,,100
severe,dir,0.1,100,,Cifar10_clientscale_c100_severe,fedcsa,FedCSA,fedcsa_severe,complete,0.20312052681837334,0.19955580530024683,0.17620237450372764,0.17620237450372764,0.0,0.02127659574468085,0.06382978723404255,0.20517224931148828,0.20135660539676767,0.1773374511428154,0.02127659574468085,21276595744.68085,-0.0038156439147206006,0.6944547950091151,-0.023353430796519192,external_server_recovery,0.5088,0.5219,-0.0131,0.0,0.0426,,,,100
severe,dir,0.1,100,,Cifar10_clientscale_c100_severe,fedosd,FedOSD,fedosd_severe,complete,0.20306356328456868,0.2007860520660692,,0.2007860520660692,0.0,0.0,0.0,0.20511471038845322,0.2028141940061305,0.2028141940061305,0.0,0.0,-0.0023005163823226977,-0.006319891185313238,,internal_fedosd_post_training,0.5088,0.5076,0.0011999999999999789,0.0,0.0,,,,100
severe,dir,0.1,100,,Cifar10_clientscale_c100_severe,retrain,Retrain,retrain_severe,complete,,,,0.24017751862454614,,,0.0,,,0.2426035541662082,,,,,,,,,,,,0.6792517339875799,0.4641,0.1064,100
