level,partition,alpha,num_clients,class_per_client,dataset,method,display_name,result_tag,status,pre_avg_acc,post_avg_acc,recovery_avg_acc,pre_avg_acc_sample_weighted,post_avg_acc_sample_weighted,recovery_avg_acc_sample_weighted,final_avg_acc,final_avg_acc_sample_weighted,pre_standard_global_test_accuracy,post_standard_global_test_accuracy,recovery_standard_global_test_accuracy,final_standard_global_test_accuracy,pre_target_acc,post_target_acc,final_target_acc,pre_retain_avg_acc,post_retain_avg_acc,final_retain_avg_acc,target_acc_change,target_acc_change_ratio,others_acc_change_avg,others_acc_change_ratio,recovery_effect,recovery_stage,mia_pre_auc,mia_post_auc,mia_auc_drop,backdoor_pre_acc,backdoor_post_acc,final_mia_auc,final_backdoor_acc,final_avg_auc,final_avg_auc_sample_weighted,final_standard_global_test_auc,seed
severe,dir,0.1,10,,Cifar10_hetero_clean_s42_severe,fu,FU,fu_severe,complete,0.2315999999999999,0.2000666666666666,0.2773333333333333,0.2316,0.2000666666666666,0.2303333333333333,0.2773333333333333,0.2303333333333333,0.216,0.2366,0.3795,0.3795,0.4746666666666667,0.024,0.0133333333333333,0.2045925925925926,0.2196296296296296,0.3066666666666667,-0.4506666666666666,-0.9494382022451908,0.015037037037037,-0.0039598635323051,0.0772666666666666,fu_adaptive_recovery_round_4,0.4989,0.5142,-0.0152999999999999,0.5625,0.3229,0.5005,0.1354,,,,42
severe,dir,0.1,10,,Cifar10_hetero_clean_s42_severe,fedau,FedAU,fedau_severe,complete,0.2646666666666666,0.2814,,0.2646666666666666,0.2814,,0.2814,0.2814,0.1,0.0719,,0.0719,0.0,0.0,0.0,0.294074074074074,0.3126666666666666,0.3126666666666666,0.0,0.0,0.0185925925925926,29.329025387763277,,skipped_for_fedau,0.4882,0.4917,-0.0035,0.0,0.0,0.4917,0.0,,,,42
severe,dir,0.1,10,,Cifar10_hetero_clean_s42_severe,fedcsa,FedCSA,fedcsa_severe,complete,0.2315999999999999,0.2762,0.2203333333333333,0.2316,0.2762,0.2203333333333333,0.2203333333333333,0.2203333333333333,0.216,0.4004,0.3106,0.3106,0.4746666666666667,0.2313333333333333,0.446,0.2045925925925926,0.2811851851851851,0.1952592592592592,-0.2433333333333333,-0.5126404494371223,0.0765925925925926,0.716281199306621,-0.0558666666666666,external_server_recovery,0.4989,0.5003,-0.0013999999999999,0.5625,0.0677,0.4925,0.0885,,,,42
severe,dir,0.1,10,,Cifar10_hetero_clean_s42_severe,fedosd,FedOSD,fedosd_severe,complete,0.2315999999999999,0.2784,,0.2316,0.2784,,0.2784,0.2784,0.216,0.3336,,0.3336,0.4746666666666667,0.3073333333333333,0.3073333333333333,0.2045925925925926,0.2751851851851852,0.2751851851851852,-0.1673333333333333,-0.3525280898868977,0.0705925925925926,0.9079982802441808,,internal_fedosd_post_training,0.4989,0.4991,-0.0001999999999999,0.5625,0.0885,0.4991,0.0885,,,,42
severe,dir,0.1,10,,Cifar10_hetero_clean_s42_severe,retrain,Retrain,retrain_severe,complete,,,,,,,0.2057333333333333,0.2057333333333333,,,,0.2954,,,0.022,,,0.2261481481481481,,,,,,,,,,,,0.5072,0.026,0.730430587654321,0.7304305876543209,0.7787539344444443,42
severe,dir,0.1,10,,Cifar10_hetero_clean_s321_severe,fu,FU,fu_severe,complete,0.3414,0.3367333333333333,0.3465333333333333,0.3414,0.3367333333333333,0.3465333333333333,0.3465333333333333,0.3465333333333333,0.226,0.3757,0.5149,0.5149,0.5293333333333333,0.0113333333333333,0.0086666666666666,0.3205185185185185,0.3728888888888889,0.384074074074074,-0.518,-0.9785894206530632,0.0523703703703703,1.3324178939737163,0.0097999999999999,fu_adaptive_recovery_round_5,0.4946,0.4949,-0.0003,0.2865,0.0104,0.4997,0.125,,,,321
severe,dir,0.1,10,,Cifar10_hetero_clean_s321_severe,fedau,FedAU,fedau_severe,complete,0.3217333333333333,0.2078,,0.3217333333333333,0.2078,,0.2078,0.2078,0.2298,0.1752,,0.1752,0.554,0.0,0.0,0.2959259259259259,0.2308888888888889,0.2308888888888889,-0.554,-0.999999999998195,-0.065037037037037,1.695685680495684,,skipped_for_fedau,0.5095,0.4955,0.0139999999999999,0.224,0.0,0.4955,0.0,,,,321
severe,dir,0.1,10,,Cifar10_hetero_clean_s321_severe,fedcsa,FedCSA,fedcsa_severe,complete,0.3414,0.3360666666666667,0.3202666666666666,0.3414,0.3360666666666667,0.3202666666666666,0.3202666666666666,0.3202666666666666,0.226,0.4826,0.4,0.4,0.5293333333333333,0.0,0.006,0.3205185185185185,0.3734074074074074,0.3551851851851852,-0.5293333333333333,-0.9999999999981108,0.0528888888888888,0.9247919813458476,-0.0158,external_server_recovery,0.4946,0.5046,-0.01,0.2865,0.125,0.4987,0.0833,,,,321
severe,dir,0.1,10,,Cifar10_hetero_clean_s321_severe,fedosd,FedOSD,fedosd_severe,complete,0.3414,0.3163333333333333,,0.3414,0.3163333333333333,,0.3163333333333333,0.3163333333333333,0.226,0.3687,,0.3687,0.5293333333333333,0.2646666666666666,0.2646666666666666,0.3205185185185185,0.322074074074074,0.322074074074074,-0.2646666666666666,-0.4999999999990554,0.0015555555555555,0.1999373879469975,,internal_fedosd_post_training,0.4946,0.5011,-0.0065,0.2865,0.0938,0.5011,0.0938,,,,321
severe,dir,0.1,10,,Cifar10_hetero_clean_s321_severe,retrain,Retrain,retrain_severe,complete,,,,,,,0.3090666666666667,0.3090666666666666,,,,0.393,,,0.002,,,0.3431851851851852,,,,,,,,,,,,0.5085,0.0573,0.7628655654320987,0.7628655654320988,0.8342167938888889,321
